Cinzas;Matéria Volátil;Carbono Fixo;Poder calorifico
42.15;26.52;31.33;3999.00
38.63;28.18;33.19;4205.00
50.34;25.23;24.43;3257.00
50.24;26.04;23.72;3251.00
50.33;24.27;25.40;3250.00
48.31;25.29;26.40;3458.00
54.29;22.18;23.53;3032.00
61.77;21.63;16.60;2395.00
49.20;23.23;27.57;3371.00
48.20;25.40;26.40;3434.00
63.75;20.56;15.69;1947.00
68.60;18.40;13.00;1854.00
50.86;24.06;25.08;3419.00
48.40;23.42;28.18;3526.00
50.82;24.54;24.64;3384.00
48.28;25.41;26.31;3497.00
52.64;24.20;23.16;3019.00
48.66;24.76;26.58;3479.00
49.66;24.74;25.60;3330.00
49.13;24.37;26.50;3363.00
51.28;24.88;23.84;3226.00
51.89;24.77;23.34;3196.00
49.60;22.90;27.50;3425.00
45.90;24.50;29.60;3732.00
47.40;24.10;28.50;3703.00
50.60;24.40;25.00;3290.00
49.90;23.90;26.20;3433.00
44.90;24.90;30.20;3879.00
47.50;23.90;28.60;3661.00
48.80;23.40;27.80;3590.00
51.60;21.30;27.10;3353.00
50.80;21.90;27.30;3395.00
48.20;22.70;29.10;3515.00
48.80;22.90;28.30;3479.00
51.50;21.40;27.10;3368.00
50.30;21.70;28.00;3364.00
51.70;21.10;27.20;3311.00
48.70;11.20;40.10;3612.00
50.20;23.80;26.00;3588.00
54.00;29.60;16.40;3217.00
49.30;22.40;28.30;3496.00
51.50;22.10;26.40;3304.00
48.40;24.60;27.00;3764.00
47.80;24.00;28.20;3682.00
49.50;23.00;27.50;3524.00
49.21;21.01;29.78;3661.00
55.91;21.92;22.17;3076.00
54.09;22.46;23.45;3122.00
58.12;22.20;19.68;2842.00
53.70;23.96;22.34;3126.00
56.94;24.51;18.55;2793.00
53.29;23.25;23.46;3167.00
55.03;25.11;19.86;2967.00
54.64;23.58;21.78;3039.00
57.17;22.27;20.56;2836.00
60.50;22.81;16.69;2592.00
57.40;19.90;22.70;2895.00
50.20;21.30;28.50;3466.00
51.10;22.10;26.80;3396.00
51.70;21.40;26.90;3405.00
53.60;21.50;24.90;3230.00
55.40;21.20;23.40;2977.00
53.20;21.90;24.90;3274.00
54.60;20.20;25.20;3232.00
52.40;21.10;26.50;3305.00
51.00;21.60;27.40;3415.00
50.10;22.40;27.50;3445.00
50.40;21.60;28.00;3404.00
53.20;20.80;26.00;3290.00
51.20;21.20;27.60;3312.00
60.80;18.80;20.40;2648.00
53.20;21.70;25.10;3262.00
52.40;22.40;25.20;3394.00
54.90;20.30;24.80;3175.00
53.00;21.20;25.80;3323.00
51.10;22.00;26.90;3388.00
51.60;22.60;25.80;3420.00
53.10;21.90;25.00;3395.00
54.10;21.40;24.50;3082.00
57.28;17.71;24.91;3134.00
61.83;18.75;19.42;2380.00
60.18;19.44;20.38;2600.00
61.33;19.23;19.44;2530.00
64.28;19.19;16.53;2255.00
54.65;23.30;22.05;2885.00
60.64;19.52;19.84;2445.00
61.06;19.70;19.24;2490.00
61.58;19.03;19.39;2430.00
60.59;19.91;19.50;2415.00
63.92;19.66;16.41;2245.00
58.34;21.32;20.34;2415.00
50.06;24.73;25.21;3230.00
56.96;21.35;21.69;2770.00
56.86;22.86;20.28;2360.00
52.14;23.38;24.48;3000.00
51.18;24.38;24.44;3060.00
42.25;29.85;27.90;3895.00
51.76;23.49;24.75;2990.00
47.86;25.62;26.52;3465.00
45.93;26.53;27.54;3640.00
53.75;21.96;24.29;2925.00
56.56;21.69;21.75;2335.00
51.52;23.20;25.28;3120.00
59.07;26.33;14.60;2150.00
59.88;19.86;20.26;2470.00
50.56;23.76;25.68;3125.00
53.19;25.64;21.17;2315.00
51.08;23.69;25.23;3105.00
49.71;24.21;26.08;3240.00
63.62;18.64;17.74;2040.00
54.12;24.68;21.20;2670.00
43.57;27.87;28.56;3350.00
52.58;25.36;22.06;2850.00
50.18;25.31;24.51;3050.00
37.87;28.79;33.34;3970.00
44.77;27.65;27.58;3590.00
56.03;23.28;20.69;2345.00
58.73;22.60;18.67;2300.00
33.75;31.47;34.78;4250.00
45.67;26.76;27.57;3630.00
52.61;21.91;25.47;2669.00
52.06;22.60;25.34;2871.00
50.65;21.72;27.63;2929.00
53.26;21.64;25.11;2799.00
54.20;20.52;25.28;2808.00
46.44;22.12;31.45;3259.00
50.57;21.48;27.95;3116.00
52.12;20.66;27.22;3001.00
53.34;21.38;25.28;2904.00
47.78;23.04;29.18;3320.00
44.65;24.21;31.13;3473.00
51.65;21.56;26.79;2987.00
49.09;22.46;28.45;3098.00
51.43;22.19;26.38;2990.00
51.06;22.13;26.81;3105.00
55.26;21.44;23.30;2994.00
47.94;23.15;28.91;3281.00
49.90;22.54;27.57;3156.00
39.47;26.00;34.53;3943.00
42.78;25.29;31.93;3725.00
39.07;26.08;34.85;3949.00
39.96;26.11;33.93;3875.00
41.97;24.87;33.16;3782.00
44.17;24.36;31.46;3642.00
40.84;25.11;34.05;3816.00
